Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://www.usa.gov/,https://www.usa.gov/life-in-the-us,ACT-Fibernet,526.8,N
https://www.usa.gov/,https://www.usa.gov/presidents,ACT-Fibernet,495.6,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,449.6,N
https://www.usa.gov/,https://www.usa.gov/finding-home,ACT-Fibernet,1053.0,N
https://www.usa.gov/,https://www.usa.gov/benefits,ACT-Fibernet,613.4,N
https://www.usa.gov/,https://www.usa.gov/financial-aid,ACT-Fibernet,538.0,N
https://www.usa.gov/,https://www.usa.gov/food-help,ACT-Fibernet,525.2,N
https://www.usa.gov/,https://www.usa.gov/grants,ACT-Fibernet,546.0,N
https://www.usa.gov/,https://www.usa.gov/help-with-bills,ACT-Fibernet,484.4,N
https://www.usa.gov/,https://www.usa.gov/military-assistance,ACT-Fibernet,396.8,N
https://www.usa.gov/,https://www.usa.gov/retirement,ACT-Fibernet,825.4,N
https://www.usa.gov/,https://www.usa.gov/about-social-security,ACT-Fibernet,573.4,N
https://www.usa.gov/,https://www.usa.gov/state-social-services,ACT-Fibernet,2830.8,N
https://www.usa.gov/,https://www.usa.gov/unemployment,ACT-Fibernet,984.4,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,475.2,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,595.0,N
https://www.usa.gov/,https://www.usa.gov/complaint-against-government,ACT-Fibernet,571.6,N
https://www.usa.gov/,https://www.usa.gov/consumer-complaints,ACT-Fibernet,408.8,N
https://www.usa.gov/,https://www.usa.gov/#,ACT-Fibernet,407.0,N
https://www.usa.gov/,https://www.usa.gov/complaints-lender,ACT-Fibernet,513.4,N
https://www.usa.gov/,https://www.usa.gov/car-complaints,ACT-Fibernet,459.2,N
https://www.usa.gov/,https://www.usa.gov/housing-complaints,ACT-Fibernet,366.6,N
